index,name,type,breakfast,main_dish,calories,carbs,fats,proteins,saturated_fats,sugar,value_ser1,value_ser2,avg_val
1,Balsamic and Avocado Snack,Appetizers,0,0,239.94055,7.2316,23.97705,1.36935,3.3115,1.57,0,0,0
2,Light and Silky Mashed Potatoes,Appetizers,0,0,299.51129190969,42.33507354657,12.46164979311,6.130095625709997,7.8281033342400015,1.34,0,0,0
3,Mushroom Caviar,Appetizers,0,0,607.4979840000002,31.079312,51.592432,12.230464,25.467232,2.85,0,0,0
4,Cream Cheese and Olive Pecan Bites,Appetizers,0,0,219.14629998548702,5.279966666317001,21.693666665229998,3.900833333075002,3.4629333331040004,4.33,0,0,0
5,Zucchini Patties,Appetizers,0,0,93.053704171127,5.695462500273,5.7163250002740025,4.9722291669050005,1.884579166757,1.37,0,0,0
6,Steamed Broccoli,Appetizers,0,0,148.13515125,11.494342,10.766852,4.81962125,1.47316725,1.6,0,0,0
7,Creamy Deviled Eggs,Appetizers,0,0,108.561658337615,3.4820866668040003,7.150110000282003,7.285336666954,2.5693066667680005,1.67,0,0,0
8,Sauteed Dandelion Greens,Appetizers,0,0,198.9707720854,16.31913478664,14.72067739296,4.721025325519999,2.15605881008,0.66,0,0,0
9,Grilled Asparagus,Appetizers,0,0,52.5375,4.401475,3.514175,2.486775,0.5137,1.82,0,0,0
10,Potato Rosti,Appetizers,0,0,81.38019999858001,14.695921428315,1.997662857108,1.5964928571149999,0.286549999995,1.54,0,0,0
11,Cranberry Feta Pinwheels,Appetizers,0,0,211.031375,30.739374999999995,7.954562499999999,5.771125,4.512437499999999,18.41,0,0,0
12,Celery Root and Potato Pure with Chervil ( Cleri Rave en Pure ),Appetizers,0,0,404.175295,46.11658499999999,22.76493,7.392734999999999,13.84671,1.44,0,0,0
13,Avocado lettuce wrap,Appetizers,0,0,193.6385,15.544375,15.074125,3.735875,2.1945,1.58,0,0,0
14,Baked Sweet Potatoes with Scallions and Cilantro,Appetizers,0,0,131.76237812500003,12.747809375,8.741140625000002,1.3730718750000002,5.499790625,5.29,0,0,0
15,Easy Candy Yams,Appetizers,0,0,245.87426250000004,55.3825275,2.0636325,2.5669575,1.07376,15.57,0,0,0
16,Fettuccini with Salsa Cruda and Feta,Pasta,0,1,403.498655,63.10740000000001,12.30137,15.799714999999999,4.733055,1.75,0,0,0
17,Hungarian Cottage Cheese Spread,Main dishes,0,0,196.092195,12.0638375,12.967012500000004,8.580162500000002,7.973745,2.38,0,0,0
18,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese",Main dishes,0,0,276.03576000000004,29.609579999999998,12.477464999999999,13.228214999999999,4.789785,5.43,0,0,0
19,Prosciutto-Wrapped Pears with Blue Cheese,Main dishes,0,0,261.57315,27.765009999999997,11.735,14.36364,6.68895,7.45,0,0,0
20,Rainbow Veggie Pinwheels,Main dishes,0,0,344.613544,32.939224,14.738088000000001,19.469578,6.885827999999999,3.52,0,0,0
21,Mango with Coconut & Lime,Main dishes,0,0,173.86621999999997,36.932658,3.762278,2.048104,3.00537,14.49,0,0,0
22,Polenta Cakes with Chili-Garlic Sauce,Main dishes,0,0,260.03394199999997,29.861500000000003,15.139780500000002,3.404211,11.9446,0.52,0,0,0
23,Asparagus Vichyssoise with Mint,Main dishes,0,0,159.96919999999997,11.525339999999998,11.808749999999998,4.28264,7.148229999999999,1.26,0,0,0
24,Leek and Fennel Mashed Potatoes,Main dishes,0,0,139.62825429202002,27.232847225,2.178627778,4.27011044488,1.26360411124,2.25,0,0,0
25,"Yogurt with Granola, Tropical Fruit, and Crystallized Ginger",Main dishes,0,0,629.5803433822099,101.93164667457998,15.714820001219998,24.9032666686,2.8767566668899995,9.37,0,0,0
26,Sour coconut bonbons,Main dishes,0,0,292.5,23.34,13.46,21.28,5.32,4.96,0,0,0
27,Cranberry Jam,Main dishes,0,0,496.74068,128.16028,0.31892000000000004,1.09344,0.0,24.66,0,0,0
28,Pickled Cherries,Main dishes,0,0,220.2274085,50.9418385,0.9682385,2.373746,0.187401,13.27,0,0,0
29,Avocado Tacos,Main dishes,0,0,221.61189375,28.094625000000004,11.8594125,4.18933125,1.65335625,0.75,0,0,0
30,White Beans Puttanesca,Main dishes,0,0,292.71313275000006,33.99957750000001,12.2905305,13.40977125,1.7738909999999999,0.6,0,0,0
31,Cranberry Black Pepper Chutney,Main dishes,0,0,604.5990750000002,129.3787125,11.8524375,1.6635000000000002,7.360987500000001,26.39,0,0,0
32,Braised Swiss Chard with Currants and Feta,Main dishes,0,0,118.53935625,7.78987125,9.1329525,2.825445,2.54688,5.61,0,0,0
33,"Spanish Anchovy, Fennel, and Preserved Lemon Salad",Main dishes,0,0,210.239,4.264125000000001,18.094,8.964000000000002,2.770125,1.44,0,0,0
34,Celery-Root Pure with Truffle Butter,Main dishes,0,0,233.9622235,16.205341500000007,18.17833225,2.6434245,11.339908,1.23,0,0,0
35,Mushroom Patacone Pita,Main dishes,0,0,565.0693875,37.0571625,46.9669875,5.815625,36.2662375,3.79,0,0,0
36,Swedish Klimp,Main dishes,0,0,48.8305295,8.559438499999999,0.8632704999999999,2.306302,0.35359050000000003,3.41,0,0,0
37,Pasta with Spicy Anchovy Sauce and Dill Bread Crumbs,Pasta,0,1,439.86027825,39.92966000000001,29.043431750000003,6.6909160000000005,4.1278635,2.2,0,0,0
38,Syrian Spaghetti,Pasta,0,1,299.00798999999995,48.50865,8.06799,8.67225,0.6490199999999999,3.67,0,0,0
39,Roasted Vegetable Pasta,Pasta,0,1,280.20098494767,49.618366657399996,5.943494998889999,11.36938833121,2.37382833289,2.19,0,0,0
40,Farfalline Pasta Carbonara,Pasta,0,1,460.35679325058,65.88446332149002,12.220056664470002,25.645429995390003,4.932526665780001,1.36,0,0,0
41,Salmon Penne,Pasta,0,1,319.21596,51.98452,4.1448399999999985,23.38196,0.7593599999999999,1.82,0,0,0
42,Vodka Cream Pasta,Pasta,0,1,773.8324125,112.53461625,19.53412125,12.403413750000002,9.39043875,2.95,0,0,0
43,Creamy Chicken Penne,Pasta,0,1,781.309244,69.002404,37.28655199999999,44.045668,19.68314,1.0,0,0,0
44,Couscous with Apricots,Pasta,0,1,188.24690499360898,27.344058332404998,7.128109999758,4.064789999862,0.972014999967,3.9,0,0,0
45,Parsley Scallion Hummus Pasta,Pasta,0,1,795.0869062500003,112.64969625,28.894880625,27.557351250000004,3.757820625,5.28,0,0,0
46,Pasta with Fresh Tomato Sauce,Pasta,0,1,229.53704125,46.3376275,1.97298,10.30334,0.7946724999999999,2.14,0,0,0
47,Broccoli Pesto Pasta,Pasta,0,1,563.6530799999998,61.32105,29.133755999999998,23.327028,6.908003999999999,1.28,0,0,0
48,Pastachutta,Pasta,0,1,258.30077625,44.739426875,6.604434375,8.832869375000003,3.809905000000001,0.97,0,0,0
49,Noodles with Spicy Peanut Sauce,Pasta,0,1,695.59178375,97.099434375,23.33354125,27.210099375,3.59833625,4.54,0,0,0
50,"Easy Olive Oil, Tomato, and Basil Pasta",Pasta,0,1,320.93758125,43.45177125,14.33723625,8.51961,2.01548625,0.48,0,0,0
51,Fettucine Alfredo,Pasta,0,1,435.86589000000004,44.5203075,25.55211,11.36133,15.5293275,0.78,0,0,0
52,Lentil Stew,Pasta,0,1,307.7915500000001,52.9626,3.3851500000000003,19.196800000000003,0.47135,1.7,0,0,0
53,Zucchini Noodles ,Pasta,0,1,195.40751,14.952725000000004,14.612029999999999,4.5804550000000015,2.1198799999999998,2.53,0,0,0
54,Zucchini Noodles,Pasta,0,0,119.14932,11.006166,7.875971999999999,4.0726179999999985,1.211688,2.41,0,0,0
55,Best Baked Potato,Pasta,0,0,403.461,64.45125,13.8465,7.45875,1.989,0.75,0,0,0
56,Shoestring Zucchini Fries,Appetizers,0,0,565.1930375000002,17.00034375,55.1045625,4.9242375,7.7380875,2.09,0,0,0
57,Garlic Baked Potato,Appetizers,0,0,228.88702250000003,38.3729525,6.9748875,4.561355000000002,0.9964125,0.77,0,0,0
58,Crispy Eggplant Polenta Bites,Appetizers,0,0,210.2268,35.80587,6.29127,3.3915900000000003,0.72492,1.38,0,0,0
59,Avocado Pie,Appetizers,0,0,229.17895,22.01815,13.9194,4.963749999999999,5.643,5.53,0,0,0
